"DateTime","moisture","StartDepth","EndDepth","default_calc","DUL","PWP","rescaled","moisture_perc"
2000-01-01 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-01 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-01 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-01 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-02 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-02 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-02 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-02 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-03 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-03 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-03 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-03 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-04 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-04 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-04 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-04 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-05 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-05 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-05 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-05 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-06 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-06 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-06 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-06 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-07 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-07 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-07 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-07 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-08 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-08 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-08 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-08 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-09 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-09 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-09 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-09 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-10 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-10 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-10 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-10 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-11 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-11 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-11 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-11 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-12 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
2000-01-12 23:59:59,NA,"030","060",NA,0.2954107,0.2168583,NA,NA
2000-01-12 23:59:59,NA,"060","100",NA,0.3099539,0.2264061,NA,NA
2000-01-12 23:59:59,NA,"100","200",NA,0.3129574,0.2259624,NA,NA
2000-01-13 23:59:59,NA,"015","030",NA,0.2912807,0.1748987,NA,NA
